FirmName, Analyst F Name, Analyst L Name
"Avondale Partners LLC","Barbara","Allen"
"Gilford Securities, Inc.","Casey","Alexander"
"Raymond James","Brian","Alexander"
"UBS","Andrew","Potter"
"Susquehanna Financial Group","Jason","Kraft"
"Aton Capital Group","Nadezhda","Goloubeva"
"Broadpoint Capital","Glenn","Garmont"
"First Albany Corp.","Glenn","Garmont"
"Aton Capital Group","Steven","Dashevsky"
"Dawson James Securities","Robert","Wasserman"
"Jesup & Lamont Securities Corporation","Robert","Wasserman"
"Wasserman & Associates, Inc","Robert","Wasserman"
"Canaccord Adams","Gary","Lampard"
"Canaccord Capital","Gary","Lampard"
"Canaccord Genuity","Gary","Lampard"
"Northland Sec","Steve","Denault"
"Howe Barnes Hoefer & Arnett Inc.","David","Pringle"
"CIBC World Markets","Joseph","Altobello"
"Oppenheimer & Co.","Joseph","Altobello"
"Sterne, Agee & Leach","Jennifer","Dugan"
"Deutsche Bank Securities","John","Mackinnon"
"SG Securities","Vincent","Rech"
"RBC Capital Markets","Alan","Robinson"
"Firstenergy Capital","Mark","Friesen"
"BMO Capital Markets","Steven","Freitas"
"BMO Capital Markets-US","Steven","Freitas"
"Goldman Sachs","Matthew","Borsch"
"BAS-ML","Wilton","Fry"
"PAA Research LLC","Bradley","Safalow"
"First Analysis Corp.","Todd","Van Fleet"
"Cowen And Company","Peter","Goldmacher"
"Atlantic Equities","Richard","Radbourne"
"Investec","Leon","Esterhuizen"
"Goldman Sachs","Jonathan","Habermann"
"Collins Stewart Llc","Brian","Wright"
"Jefferies & Co.","Brian","Wright"
"Credit Suisse","John","Edwards"
"Morgan, Keegan & Company, Inc.","John","Edwards"
"Atlantic Equities","Alan","Devlin"
"Atlantic Equities","Hamilton","Faber"
"J.P. Morgan","Jerry","Dellis"
"Jefferies & Co.","Jerry","Dellis"
"McAdams Wright Ragen","Jamelah","Leddy"
"Bear Stearns","Justin","Hott"
"MDB Capital Group","Rahul","Jasuja"
"Noble Financial Capital Mkts","Rahul","Jasuja"
"Longbow Research","Shawn","Harrison"
"JMP Securities","Robert","Faulkner"
"Thomas Weisel Partners","Robert","Faulkner"
"Bryan Garnier & Co","Nikolaas","Faes"
"Thinkequity Llc","Suresh","Balaraman"
"Thinkequity Partners","Suresh","Balaraman"
"Thinkpanmure Llc","Suresh","Balaraman"
"Keefe, Bruyette & Woods","David","Konrad"
"Keefe, Bruyette & Woods, Inc.","David","Konrad"
"Jefferies & Co.","David","Brenner"
"Moors & Cabot Capital Markets","Matthew","Kelley"
"Sterne, Agee & Leach","Matthew","Kelley"
"UBS","Jon","Maier"
"SG Securities","John","Baillie"
"Deutsche Bank Securities","Mabel","Wong"
"J.P. Morgan","E.","Gelblum"
"Bear Stearns","Steven","Randall"
"Credit Agricole Securities","Ed","Maguire"
"Merrill Lynch","Edward","Maguire"
"B. Riley & Company, Inc.","Ian","Corydon"
"Catamount Strategic Advisors","Cobb","Sadler"
"Deutsche Bank Securities","Cobb","Sadler"
"Kaufman Bros.","Alan","Weinfeld"
"Soleil - Ward Transportation","Michael","Ward"
"UBS","Aryeh","Bourkoff"
"Friedman, Billings, Ramsey & Co.","Paul","Morgan"
"Morgan Stanley","Paul","Morgan"
"Banc Of America Securities","Sumit","Dhanda"
"Thinkequity Partners","Stewart","Barry"
"Friedman, Billings, Ramsey & Co.","Adrienne","Tennant"
"Janney Capital Markets","Adrienne","Tennant"
"Wedbush Morgan Securities Inc.","Adrienne","Tennant"
"Friedman, Billings, Ramsey & Co.","David","Amsellem"
"Credit Suisse","Robert","Spingarn"
"A. G. Edwards & Sons, Inc.","Albert","Rauch"
"RBC Capital Markets","Sara","O'Brien"
"CIBC World Markets","Stephen","Boland"
"Gmp Securities Ltd.","Stephen","Boland"
"Deutsche Bank Securities","Scott","Fidel"
"J.P. Morgan","Scott","Fidel"
"Cowen And Company","Ken","Cacciatore"
"Sg Cowen & Co.","Ken","Cacciatore"
"Cowen And Company","Kenneth","Cacciatore"
"First Albany Corp.","Randall","Scherago"
"UBS","Julie","Oh"
"Pacific International Securities","Glen","Tracey"
"Pi Financial Corp.","Glen","Tracey"
"Credit Suisse","Kenneth","Weakley"
"UBS","Kenneth","Weakley"
"ABG Sundal Collier","Erik","Ejerhed"
"ABG Sundal Collier","Anders","Rosenlund"
"BofA Merrill Lynch","Ronald","Epstein"
"Merrill Lynch","Ronald","Epstein"
"BGB Securities, Inc.","Faye","Elliott"
"BAS-ML","Faye","Elliott-Gurney"
"Merrill Lynch","Faye","Elliott-Gurney"
"Weeden & Co.","Kevin","Starke"
"Canaccord Genuity","George","Farmer"
"Wachovia Capital Markets, Llc","George","Farmer"
"Wachovia Securities","George","Farmer"
"Goldman Sachs","William","Tanona"
"Janney Capital Markets","Richard","Fetyko"
"Merriman Curhan Ford & Co.","Richard","Fetyko"
"Jefferies & Co.","Eun","Yang"
"Gilford Securities, Inc.","Otis","Bradley"
"Desjardins Securities","Nadi","Tadros"
"UBS","Glenn","Schorr"
"Sky Capital LLC","Theodore","Kovaleff"
"Citi","Alexander","Korneev"
"Goldman Sachs","Joshua","Lu"
"Berenberg Bank Ag","Roland","Rapelius"
"Bear Stearns","Roxy","Wong"
"Bear Stearns","William","Hand"
"Citigroup","Eileen","Furukawa"
"Deutsche Bank Securities","Nicolas","Gaudois"
"Cochran Caronia Waller","Matthew","Carletti"
"Cochran, Caronia Securities, LLC","Matthew","Carletti"
"Fox-Pitt Kelton","Matthew","Carletti"
"JMP Securities","Matthew","Carletti"
"BAS-ML","Ian","Weissman"
"Merrill Lynch","Ian","Weissman"
"Jefferies & Co.","Robert","Routh"
"Renaissance Capital","Natasha","Zagvozd"
"Renaissance Capital","Natalya","Zagvozdina"
"Renaissance Capital","Natasha","Zagvozdina"
"FBR Capital Markets & Co.","Robert","Mackenzie"
"Friedman, Billings, Ramsey & Co.","Robert","Mackenzie"
"Renaissance Capital","Rob","Edwards"
"William Blair & Company, L.L.C.","Ryan","Daniels"
"Bear Stearns","Philip","Alling"
"BMO Capital Markets","Paul","Adornato"
"Harris Nesbitt","Paul","Adornato"
"Credit Suisse","Gabriel","Chan"
"Keybanc Capital Mkts/Mcdonald","Jonathan","Waite"
"Scotia Capital","Himalaya","Jain"
"Pacific International Securities","Karen","Boodram"
"Pi Financial Corp.","Karen","Boodram"
"CJS Securities","Robert","Labick"
"RBC Capital Markets","Dave","Rodgers"
"RBC Capital Markets","David","Rodgers"
"RBC Capital Markets","Fai","Lee"
"Oriel Securities","Marcus","Barnard"
"Morgan Stanley","Adam","Jonas"
"C.L. King & Associates, Inc.","Ty","Govatos"
"Robert W. Baird & Co., Inc.","Jon","Langenfeld"
"RBC Capital Markets","Michael","Hamilton"
"Deutsche Bank Securities","David","Steinberg"
"C.L. King & Associates, Inc.","Ross","Taylor"
"UBS","Nikos","Theodosopoulos"
"FTN Midwest Research","William","Fearnley"
"Ftn Midwest Securities Corp.","William","Fearnley"
"Avondale Partners LLC","Daniel","Owczarski"
"Soleil-Belmont Harbor Capital","Daniel","Owczarski"
"Merrill Lynch","Daniel","Fairclough"
"FTN Midwest Research","Brian","Rayle"
"Ftn Midwest Securities Corp.","Brian","Rayle"
"Keybanc Capital Mkts/Mcdonald","Brian","Rayle"
"Northcoast Res","Brian","Rayle"
"Morgan Stanley","William","Lu"
"Oppenheimer & Co.","Balaji","Gandhi"
"Stifel Nicolaus & Company, Inc.","Paul","Forward"
"Credit Suisse","Todd","Hagerman"
"Fox-Pitt  Kelton","Todd","Hagerman"
"Fox-Pitt Kelton","Todd","Hagerman"
"Sterne, Agee & Leach","Todd","Hagerman"
"21St Century Equity Research","Robert","Damron"
"Deutsche Bank Securities","Jonathan","Copus"
"RBC Capital Markets","Edward","Aaron"
"Flagstone Securities","Steven","Delaney"
"JMP Securities","Steven","Delaney"
"Ryan Beck & Co.","Steven","Delaney"
"SG Securities","Gael","De-Bray"
"Howard Weil Inc.","Jonathan","Robert"
"Canaccord Adams","John","Quealy"
"Canaccord Genuity","John","Quealy"
"Global Hunter Securities, LLC","Dan","Morrison"
"Aperion Group, LLC","Daniel","Morrison"
"Deutsche Bank Securities","John","Perry"
"National Bank Financial","Peter","Ogden"
"BOCI Research Limited","Charles","Law"
"Banc Of America Securities","John","Janedis"
"Blackmont Capital","Richard","Gray"
"Bear Stearns","Mark","Schoenebaum"
"Firstenergy Capital","Kevin","Lo"
"RBC Capital Markets","Walter","Spracklin"
"UBS","Roopesh","Patel"
"Bank Vontobel Ag","Fabian","Haecki"
"Mackie Research Capital","Jaret","Anderson"
"UBS","Jaret","Anderson"
"UBS","Maynard","Um"
"Wells Fargo Securities, Llc","Maynard","Um"
"William Blair & Company, L.L.C.","Corey","Tobin"
"SG Securities","Frederic","Labia"
"Ferris, Baker Watts, Inc.","John","Keefe"
"BMO Capital Markets","Kenneth","Zaslow"
"Harris Nesbitt","Kenneth","Zaslow"
"Ing Financial Markets","Amit","Yonay"
