"From (address)"|"From (display)"|"Sent on behalf of (address)"|"Date Sent"|"Subject"|"Body"|"Body HTML"
|"Stifel"||"9/12/2014 9:25:00 AM"|"Caretrust Reit Inc. (NASDAQ: CTRE) rated to Hold  by Stifel"|"Stifel rated Caretrust Reit Inc. (NASDAQ: CTRE) to Hold. 
Rated Date: 9/12/2014 9:25:00 AM	


View article... <http://www.gainerstoday.com/article-143710> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Stifel rated Caretrust Reit Inc. (NASDAQ: CTRE) to Hold. <br />Rated Date: 9/12/2014 9:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143710"">View article...</A></p></body></html>"
|"Canaccord Genuity"||"9/12/2014 8:25:00 AM"|"Enphase Energy Inc (NASDAQ: ENPH) rated to Buy with price target $20 by Canaccord Genuity"|"Canaccord Genuity rated Enphase Energy Inc (NASDAQ: ENPH) to Buy with price target $20. 
Rated Date: 9/12/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143706> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Canaccord Genuity rated Enphase Energy Inc (NASDAQ: ENPH) to Buy with price target $20. <br />Rated Date: 9/12/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143706"">View article...</A></p></body></html>"
|"Wunderlich"||"9/12/2014 8:25:00 AM"|"Hanesbrands Inc. (NYSE: HBI) rated to Buy with price target $124 by Wunderlich"|"Wunderlich rated Hanesbrands Inc. (NYSE: HBI) to Buy with price target $124. 
Rated Date: 9/12/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143704> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Wunderlich rated Hanesbrands Inc. (NYSE: HBI) to Buy with price target $124. <br />Rated Date: 9/12/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143704"">View article...</A></p></body></html>"
|"Wunderlich"||"9/12/2014 8:25:00 AM"|"Perry Ellis International Inc. (NASDAQ: PERY) rated to Buy with price target $25 by Wunderlich"|"Wunderlich rated Perry Ellis International Inc. (NASDAQ: PERY) to Buy with price target $25
Rated Date: 9/12/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143703> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Wunderlich rated Perry Ellis International Inc. (NASDAQ: PERY) to Buy with price target $25<br />Rated Date: 9/12/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143703"">View article...</A></p></body></html>"
|"Ascendiant Capital Markets"||"9/12/2014 8:25:00 AM"|"Vitesse Semi (NASDAQ: VTSS) rated to Buy with price target $5.25 by Ascendiant Capital Markets"|"Ascendiant Capital Markets rated Vitesse Semi (NASDAQ: VTSS) to Buy with price target $5.25. 
Rated Date: 9/12/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143702> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Ascendiant Capital Markets rated Vitesse Semi (NASDAQ: VTSS) to Buy with price target $5.25. <br />Rated Date: 9/12/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143702"">View article...</A></p></body></html>"
|"Mizuho"||"9/12/2014 8:25:00 AM"|"NewLink Genetics Corp (NASDAQ: NLNK) rated to Buy with price target $50 by Mizuho"|"Mizuho rated NewLink Genetics Corp (NASDAQ: NLNK) to Buy with price target $50
Rated Date: 9/12/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143701> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Mizuho rated NewLink Genetics Corp (NASDAQ: NLNK) to Buy with price target $50<br />Rated Date: 9/12/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143701"">View article...</A></p></body></html>"
|"Wunderlich"||"9/12/2014 8:25:00 AM"|"Phillips-van Heusen Corporation (NYSE: PVH) rated to Buy with price target $150 by Wunderlich"|"Wunderlich rated Phillips-van Heusen Corporation (NYSE: PVH) to Buy with price target $150. 
Rated Date: 9/12/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143700> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Wunderlich rated Phillips-van Heusen Corporation (NYSE: PVH) to Buy with price target $150. <br />Rated Date: 9/12/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143700"">View article...</A></p></body></html>"
|"Oppenheimer"||"9/12/2014 8:25:00 AM"|"Littelfuse, Inc. (NASDAQ: LFUS) rated to Outperform with price target $107 by Oppenheimer"|"Oppenheimer rated Littelfuse, Inc. (NASDAQ: LFUS) to Outperform with price target $107
Rated Date: 9/12/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143697> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Oppenheimer rated Littelfuse, Inc. (NASDAQ: LFUS) to Outperform with price target $107<br />Rated Date: 9/12/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143697"">View article...</A></p></body></html>"
|"RBC Capital Mkts"||"9/15/2014 8:25:00 AM"|"Nrg Yield Inc. (NYSE: NYLD) rated to Outperform with price target $61 by RBC Capital Mkts"|"RBC Capital Mkts rated Nrg Yield Inc. (NYSE: NYLD) to Outperform with price target $61. 
Rated Date: 9/15/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143736> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>RBC Capital Mkts rated Nrg Yield Inc. (NYSE: NYLD) to Outperform with price target $61. <br />Rated Date: 9/15/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143736"">View article...</A></p></body></html>"
|"Northland Capital"||"9/15/2014 8:25:00 AM"|"Power Solutions Inte (NASDAQ: PSIX) rated to Outperform with price target $90 by Northland Capital"|"Northland Capital rated Power Solutions Inte (NASDAQ: PSIX) to Outperform with price target $90
Rated Date: 9/15/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143735> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Northland Capital rated Power Solutions Inte (NASDAQ: PSIX) to Outperform with price target $90<br />Rated Date: 9/15/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143735"">View article...</A></p></body></html>"
|"Monness Crespi & Hardt"||"9/15/2014 8:25:00 AM"|"Veriphone Holdings, Inc. (NYSE: PAY) rated to Buy with price target $43 by Monness Crespi & Hardt"|"Monness Crespi & Hardt rated Veriphone Holdings, Inc. (NYSE: PAY) to Buy with price target $43. 
Rated Date: 9/15/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143734> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Monness Crespi & Hardt rated Veriphone Holdings, Inc. (NYSE: PAY) to Buy with price target $43. <br />Rated Date: 9/15/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143734"">View article...</A></p></body></html>"
|"Canaccord Genuity"||"9/15/2014 10:25:00 AM"|"Whiting Petroleum Corporation (NYSE: WLL) rated to Buy with price target $108 by Canaccord Genuity"|"Canaccord Genuity rated Whiting Petroleum Corporation (NYSE: WLL) to Buy with price target $108 with today's price of $83.70. 
Rated Date: 9/15/2014 10:25:00 AM	


View article... <http://www.gainerstoday.com/article-143742> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Canaccord Genuity rated Whiting Petroleum Corporation (NYSE: WLL) to Buy with price target $108 with today's price of $83.70. <br />Rated Date: 9/15/2014 10:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143742"">View article...</A></p></body></html>"
|"Compass Point"||"9/16/2014 11:25:00 AM"|"Starwood Waypoint Residential T (NYSE: SWAY) rated to Neutral with price target $30 by Compass Point"|"Compass Point rated Starwood Waypoint Residential T (NYSE: SWAY) to Neutral with price target $30
Rated Date: 9/16/2014 11:25:00 AM	


View article... <http://www.gainerstoday.com/article-143777> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Compass Point rated Starwood Waypoint Residential T (NYSE: SWAY) to Neutral with price target $30<br />Rated Date: 9/16/2014 11:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143777"">View article...</A></p></body></html>"
|"Compass Point"||"9/16/2014 11:25:00 AM"|"Silver Bay Realty Trust Corp. (NYSE: SBY) rated to Buy with price target $19.50 by Compass Point"|"Compass Point rated Silver Bay Realty Trust Corp. (NYSE: SBY) to Buy with price target $19.50. 
Rated Date: 9/16/2014 11:25:00 AM	


View article... <http://www.gainerstoday.com/article-143776> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Compass Point rated Silver Bay Realty Trust Corp. (NYSE: SBY) to Buy with price target $19.50. <br />Rated Date: 9/16/2014 11:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143776"">View article...</A></p></body></html>"
|"R. F. Lafferty"||"9/16/2014 11:25:00 AM"|"Osiris Therapeutics, Inc. (NASDAQ: OSIR) rated to Buy with price target $19 by R. F. Lafferty"|"R. F. Lafferty rated Osiris Therapeutics, Inc. (NASDAQ: OSIR) to Buy with price target $19
Rated Date: 9/16/2014 11:25:00 AM	


View article... <http://www.gainerstoday.com/article-143775> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>R. F. Lafferty rated Osiris Therapeutics, Inc. (NASDAQ: OSIR) to Buy with price target $19<br />Rated Date: 9/16/2014 11:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143775"">View article...</A></p></body></html>"
|"Roth Capital"||"9/16/2014 9:25:00 AM"|"Catalyst Pharmaceutical Partners, Inc. (NASDAQ: CPRX) rated to Buy with price target $5 by Roth Capital"|"Roth Capital rated Catalyst Pharmaceutical Partners, Inc. (NASDAQ: CPRX) to Buy with price target $5
Rated Date: 9/16/2014 9:25:00 AM	


View article... <http://www.gainerstoday.com/article-143773> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Roth Capital rated Catalyst Pharmaceutical Partners, Inc. (NASDAQ: CPRX) to Buy with price target $5<br />Rated Date: 9/16/2014 9:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143773"">View article...</A></p></body></html>"
|"Cowen"||"9/16/2014 9:25:00 AM"|"Ak Steel Holding Corporation (NYSE: AKS) rated to Market Perform with price target $11 by Cowen"|"Cowen rated Ak Steel Holding Corporation (NYSE: AKS) to Market Perform with price target $11. 
Rated Date: 9/16/2014 9:25:00 AM	


View article... <http://www.gainerstoday.com/article-143772> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Cowen rated Ak Steel Holding Corporation (NYSE: AKS) to Market Perform with price target $11. <br />Rated Date: 9/16/2014 9:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143772"">View article...</A></p></body></html>"
|"RBC Capital Mkts"||"9/16/2014 8:25:00 AM"|"Netsuite Inc (NYSE: N) rated to Outperform with price target $111 by RBC Capital Mkts"|"RBC Capital Mkts rated Netsuite Inc (NYSE: N) to Outperform with price target $111. 
Rated Date: 9/16/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143762> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>RBC Capital Mkts rated Netsuite Inc (NYSE: N) to Outperform with price target $111. <br />Rated Date: 9/16/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143762"">View article...</A></p></body></html>"
|"RBC Capital Mkts"||"9/16/2014 8:25:00 AM"|"Sap Aktiengesellschaft Systeme, Anwendungen, Produkte (NYSE: SAP) rated to Sector Perform with price target $86 by RBC Capital Mkts"|"RBC Capital Mkts rated Sap Aktiengesellschaft Systeme, Anwendungen, Produkte (NYSE: SAP) to Sector Perform with price target $86
Rated Date: 9/16/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143761> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>RBC Capital Mkts rated Sap Aktiengesellschaft Systeme, Anwendungen, Produkte (NYSE: SAP) to Sector Perform with price target $86<br />Rated Date: 9/16/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143761"">View article...</A></p></body></html>"
|"RBC Capital Mkts"||"9/16/2014 8:25:00 AM"|"Workday Inc. (NYSE: WDAY) rated to Outperform with price target $112 by RBC Capital Mkts"|"RBC Capital Mkts rated Workday Inc. (NYSE: WDAY) to Outperform with price target $112
Rated Date: 9/16/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143759> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>RBC Capital Mkts rated Workday Inc. (NYSE: WDAY) to Outperform with price target $112<br />Rated Date: 9/16/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143759"">View article...</A></p></body></html>"
|"RBC Capital Mkts"||"9/16/2014 8:25:00 AM"|"Benefitfocus Inc. (NASDAQ: BNFT) rated to Outperform with price target $48 by RBC Capital Mkts"|"RBC Capital Mkts rated Benefitfocus Inc. (NASDAQ: BNFT) to Outperform with price target $48. 
Rated Date: 9/16/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143758> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>RBC Capital Mkts rated Benefitfocus Inc. (NASDAQ: BNFT) to Outperform with price target $48. <br />Rated Date: 9/16/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143758"">View article...</A></p></body></html>"
|"Brean Capital"||"9/16/2014 8:25:00 AM"|"Analogic Corporation (NASDAQ: ALOG) rated to Hold  by Brean Capital"|"Brean Capital rated Analogic Corporation (NASDAQ: ALOG) to Hold. 
Rated Date: 9/16/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143756> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Brean Capital rated Analogic Corporation (NASDAQ: ALOG) to Hold. <br />Rated Date: 9/16/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143756"">View article...</A></p></body></html>"
|"Topeka Capital Markets"||"9/16/2014 8:25:00 AM"|"Bankrate Inc (NYSE: RATE) rated to Sell  by Topeka Capital Markets"|"Topeka Capital Markets rated Bankrate Inc (NYSE: RATE) to Sell
Rated Date: 9/16/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143755> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Topeka Capital Markets rated Bankrate Inc (NYSE: RATE) to Sell<br />Rated Date: 9/16/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143755"">View article...</A></p></body></html>"
|"Stifel"||"9/16/2014 8:25:00 AM"|"Synnex Corporation (NYSE: SNX) rated to Buy with price target $71 by Stifel"|"Stifel rated Synnex Corporation (NYSE: SNX) to Buy with price target $71. 
Rated Date: 9/16/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143752> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Stifel rated Synnex Corporation (NYSE: SNX) to Buy with price target $71. <br />Rated Date: 9/16/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143752"">View article...</A></p></body></html>"
|"Deutsche Bank"||"9/15/2014 2:25:00 PM"|"Ptc Therapeutics Inc. (NASDAQ: PTCT) rated to Buy with price target $75 by Deutsche Bank"|"Deutsche Bank rated Ptc Therapeutics Inc. (NASDAQ: PTCT) to Buy with price target $75
Rated Date: 9/15/2014 2:25:00 PM	


View article... <http://www.gainerstoday.com/article-143749> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Deutsche Bank rated Ptc Therapeutics Inc. (NASDAQ: PTCT) to Buy with price target $75<br />Rated Date: 9/15/2014 2:25:00 PM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143749"">View article...</A></p></body></html>"
|"Singular Research"||"9/15/2014 11:25:00 AM"|"Bacterin International Holdings Inc (AMEX: BONE) rated to Buy with price target $14 by Singular Research"|"Singular Research rated Bacterin International Holdings Inc (AMEX: BONE) to Buy with price target $14
Rated Date: 9/15/2014 11:25:00 AM	


View article... <http://www.gainerstoday.com/article-143745> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Singular Research rated Bacterin International Holdings Inc (AMEX: BONE) to Buy with price target $14<br />Rated Date: 9/15/2014 11:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143745"">View article...</A></p></body></html>"
|"Brean Capital"||"9/16/2014 3:25:00 PM"|"Nektar Therapeutics (NASDAQ: NKTR) rated to Buy with price target $20 by Brean Capital"|"Brean Capital rated Nektar Therapeutics (NASDAQ: NKTR) to Buy with price target $20 with today's price of $13.72. 
Rated Date: 9/16/2014 3:25:00 PM	


View article... <http://www.gainerstoday.com/article-143790> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Brean Capital rated Nektar Therapeutics (NASDAQ: NKTR) to Buy with price target $20 with today's price of $13.72. <br />Rated Date: 9/16/2014 3:25:00 PM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143790"">View article...</A></p></body></html>"
|"Imperial Capital"||"9/16/2014 1:25:00 PM"|"ARC WIRELESS SOLUTNS (NASDAQ: ARCW) rated to Outperform with price target $24 by Imperial Capital"|"Imperial Capital rated ARC WIRELESS SOLUTNS (NASDAQ: ARCW) to Outperform with price target $24
Rated Date: 9/16/2014 1:25:00 PM	


View article... <http://www.gainerstoday.com/article-143787> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Imperial Capital rated ARC WIRELESS SOLUTNS (NASDAQ: ARCW) to Outperform with price target $24<br />Rated Date: 9/16/2014 1:25:00 PM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143787"">View article...</A></p></body></html>"
|"Deutsche Bank"||"9/16/2014 1:25:00 PM"|"Scorpio Bulkers Inc. Common Sto (NYSE: SALT) rated to Buy with price target $12 by Deutsche Bank"|"Deutsche Bank rated Scorpio Bulkers Inc. Common Sto (NYSE: SALT) to Buy with price target $12. 
Rated Date: 9/16/2014 1:25:00 PM	


View article... <http://www.gainerstoday.com/article-143786> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Deutsche Bank rated Scorpio Bulkers Inc. Common Sto (NYSE: SALT) to Buy with price target $12. <br />Rated Date: 9/16/2014 1:25:00 PM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143786"">View article...</A></p></body></html>"
|"MLV & Co"||"9/16/2014 1:25:00 PM"|"Glimcher Realty Trust (NYSE: GRT) rated to Hold with price target $14 by MLV & Co"|"MLV & Co rated Glimcher Realty Trust (NYSE: GRT) to Hold with price target $14 with today's price of $13.73. 
Rated Date: 9/16/2014 1:25:00 PM	


View article... <http://www.gainerstoday.com/article-143782> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>MLV & Co rated Glimcher Realty Trust (NYSE: GRT) to Hold with price target $14 with today's price of $13.73. <br />Rated Date: 9/16/2014 1:25:00 PM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143782"">View article...</A></p></body></html>"
|"Stifel"||"9/17/2014 9:25:00 AM"|"Tyco International, Ltd. (NYSE: TYC) rated to Hold with price target $48 by Stifel"|"Stifel rated Tyco International, Ltd. (NYSE: TYC) to Hold with price target $48
Rated Date: 9/17/2014 9:25:00 AM	


View article... <http://www.gainerstoday.com/article-143811> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Stifel rated Tyco International, Ltd. (NYSE: TYC) to Hold with price target $48<br />Rated Date: 9/17/2014 9:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143811"">View article...</A></p></body></html>"
|"Furey Research Partners"||"9/17/2014 9:25:00 AM"|"CONSTANT CONTACT INC (NASDAQ: CTCT) rated to Buy with price target $40 by Furey Research Partners"|"Furey Research Partners rated CONSTANT CONTACT INC (NASDAQ: CTCT) to Buy with price target $40. 
Rated Date: 9/17/2014 9:25:00 AM	


View article... <http://www.gainerstoday.com/article-143810> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Furey Research Partners rated CONSTANT CONTACT INC (NASDAQ: CTCT) to Buy with price target $40. <br />Rated Date: 9/17/2014 9:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143810"">View article...</A></p></body></html>"
|"Northland Capital"||"9/17/2014 8:25:00 AM"|"Viper Energy Partners Lp. (NASDAQ: VNOM) rated to Market Perform with price target $32 by Northland Capital"|"Northland Capital rated Viper Energy Partners Lp. (NASDAQ: VNOM) to Market Perform with price target $32
Rated Date: 9/17/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143809> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Northland Capital rated Viper Energy Partners Lp. (NASDAQ: VNOM) to Market Perform with price target $32<br />Rated Date: 9/17/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143809"">View article...</A></p></body></html>"
|"Stifel"||"9/17/2014 8:25:00 AM"|"Danaher Corporation (NYSE: DHR) rated to Buy with price target $90 by Stifel"|"Stifel rated Danaher Corporation (NYSE: DHR) to Buy with price target $90. 
Rated Date: 9/17/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143804> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Stifel rated Danaher Corporation (NYSE: DHR) to Buy with price target $90. <br />Rated Date: 9/17/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143804"">View article...</A></p></body></html>"
|"Stifel"||"9/17/2014 8:25:00 AM"|"Emerson Electric Company (NYSE: EMR) rated to Buy with price target $81 by Stifel"|"Stifel rated Emerson Electric Company (NYSE: EMR) to Buy with price target $81. 
Rated Date: 9/17/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143802> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Stifel rated Emerson Electric Company (NYSE: EMR) to Buy with price target $81. <br />Rated Date: 9/17/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143802"">View article...</A></p></body></html>"
|"Stifel"||"9/17/2014 8:25:00 AM"|"General Electric Company (NYSE: GE) rated to Buy with price target $30 by Stifel"|"Stifel rated General Electric Company (NYSE: GE) to Buy with price target $30
Rated Date: 9/17/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143801> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Stifel rated General Electric Company (NYSE: GE) to Buy with price target $30<br />Rated Date: 9/17/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143801"">View article...</A></p></body></html>"
|"Stifel"||"9/17/2014 8:25:00 AM"|"Ingersoll-rand Company (NYSE: IR) rated to Hold with price target $63 by Stifel"|"Stifel rated Ingersoll-rand Company (NYSE: IR) to Hold with price target $63. 
Rated Date: 9/17/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143800> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Stifel rated Ingersoll-rand Company (NYSE: IR) to Hold with price target $63. <br />Rated Date: 9/17/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143800"">View article...</A></p></body></html>"
|"Stifel"||"9/17/2014 8:25:00 AM"|"Rockwell Automation Inc (NYSE: ROK) rated to Buy with price target $140 by Stifel"|"Stifel rated Rockwell Automation Inc (NYSE: ROK) to Buy with price target $140
Rated Date: 9/17/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143799> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Stifel rated Rockwell Automation Inc (NYSE: ROK) to Buy with price target $140<br />Rated Date: 9/17/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143799"">View article...</A></p></body></html>"
